_id,tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
1,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1996-01-29T00:00:00,1232,HURLINGHAM Nº 2 (EX. MORON Nº 10),Buenos Aires,Importado,1996,5,SEDAN 5 PUERTAS,047,FORD,115,FIESTA CL,1,Privado,Física,HURLINGHAM,BUENOS AIRES,Femenino,1978,ARGENTINA,100,6,200
2,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2018-01-08T00:00:00,15007,NEUQUEN Nº 4,Neuquén,Importado,2018,10,TODO TERRENO,151,JEEP,097,COMPASS LONGITUDE 2.4 AT9 AWD,1,Privado,Física,NEUQUÉN,NEUQUEN,Masculino,1979,ARGENTINA,50,58,200
3,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2010-02-26T00:00:00,1234,ADROGUE Nº 4,Buenos Aires,Importado,2010,4,RURAL 5 PTAS,158,DODGE,117,JOURNEY SXT 2.4,1,Privado,Física,CLAYPOLE,BUENOS AIRES,No identificado,1972,ARGENTINA,100,6,200
4,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2015-11-06T00:00:00,4055,CORDOBA Nº 14,Córdoba,Nacional,2015,12,SEDAN 4 PUERTAS,17,FIAT,AZ,SIENA (F4) EL 1.4 8V,1,Privado,Física,CORDOBA,CORDOBA,Femenino,1977,ARGENTINA,100,14,200
5,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2006-01-11T00:00:00,21015,ROSARIO Nº 03,Santa Fe,Importado,2006,2,SEDAN 4 PTAS,011,AUDI,104,A4 2.0 TDI/2006,1,Privado,Física,ROSARIO,SANTA FE,Femenino,1966,ARGENTINA,100,82,200
6,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1995-10-11T00:00:00,1239,QUILMES Nº 8,Buenos Aires,Importado,1995,5,SEDAN 5 PTAS,"",FORD,"",FIESTA CL,1,Privado,Física,BERNAL - QUILMES,BUENOS AIRES,No identificado,1978,ARGENTINA,100,6,200
7,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2024-02-20T00:00:00,1239,QUILMES Nº 8,Buenos Aires,Protocolo 21,2024,4,RURAL 5 PUERTAS,151,JEEP,136,RENEGADE SPORT 1.8L AT6 FWD,1,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1978,ARGENTINA,100,6,200
8,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2012-08-14T00:00:00,1243,BERAZATEGUI Nº 4,Buenos Aires,Nacional,2012,12,SEDAN 4 PTAS,08,CHEVROLET,DC,CLASSIC 4 PTAS LS AA+DIR 1.4N,1,Privado,Física,BERAZATEGUI,BUENOS AIRES,Masculino,1976,ARGENTINA,100,6,200
9,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2003-03-27T00:00:00,1244,LA MATANZA Nº 11,Buenos Aires,Nacional,2003,12,SEDAN 4 PTAS,19,FORD,PX,FOCUS EDGE 4P N AUT. - 2003,1,Privado,Física,RAMOS MEJIA,BUENOS AIRES,Femenino,1994,ARGENTINA,100,6,200
10,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2021-12-06T00:00:00,13016,MENDOZA Nº 10,Mendoza,Nacional,2021,20,PICK-UP,19,FORD,ZG,RANGER DC 4X2 XL 2.2L D,1,Privado,Física,GODOY CRUZ,MENDOZA,Femenino,1977,ARGENTINA,100,50,200
11,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2011-03-22T00:00:00,4060,CORDOBA Nº 17,Córdoba,Protocolo 21,2011,22,SEDAN 3 PTAS,047,FORD,816,KA FLY VIRAL 1.6L,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1999,ARGENTINA,100,14,200
12,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1999-08-04T00:00:00,4060,CORDOBA Nº 17,Córdoba,Nacional,1999,,SEDAN,08,CHEVROLET,51,CORSA 4 PUERTAS GL,1,Privado,Física,CORDOBA,CORDOBA,Femenino,1989,ARGENTINA,100,14,200
13,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2007-09-13T00:00:00,13018,MENDOZA Nº 11,Mendoza,Importado,2007,10,TODO TERRENO,058,HYUNDAI,229,SANTA FE 2.2 4WD CRDI,1,Privado,Física,LA PUNTILLA,MENDOZA,Femenino,1976,ARGENTINA,100,50,200
14,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2007-04-09T00:00:00,13018,MENDOZA Nº 11,Mendoza,Protocolo 21,2007,2,SEDAN 4 PTAS,055,HONDA,B31,CIVIC EXS,1,Privado,Física,DORREGO,MENDOZA,Femenino,1981,ARGENTINA,100,50,200
15,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1994-05-20T00:00:00,4061,CORDOBA Nº 18,Córdoba,Nacional,1994,12,SEDAN 4 PTAS,53,VOLKSWAGEN,10,VW SENDA DIESEL,1,Privado,Física,CORDOBA,CORDOBA,Femenino,1975,ARGENTINA,100,14,200
16,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2003-06-13T00:00:00,1247,GENERAL RODRIGUEZ Nº 2,Buenos Aires,Protocolo 21,2003,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,GENERAL RODRIGUEZ,BUENOS AIRES,Masculino,2002,ARGENTINA,100,6,200
17,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2002-01-16T00:00:00,13021,MENDOZA Nº 13,Mendoza,Importado,2001,5,SEDAN 5 PTAS,104,PEUGEOT,451,307 XT 2.0  HDI,1,Privado,Física,CARRODILLA,MENDOZA,Femenino,1982,ARGENTINA,100,50,200
18,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2007-05-22T00:00:00,8019,GUALEGUAYCHU Nº 2,Entre Ríos,Protocolo 21,2007,4,RURAL 5 PTAS,044,FIAT,612,PALIO ADVENTURE 1.8MPI V8,1,Privado,Física,GUALEGUAYCHU,ENTRE RIOS,Masculino,1990,ARGENTINA,100,30,200
19,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2018-12-20T00:00:00,1004,AVELLANEDA Nº 1,Buenos Aires,Protocolo 21,2013,5,SEDAN 5 PUERTAS,024,CHEVROLET,617,ONIX 1.4 N LTZ,1,Privado,Física,VILLA DOMINICO,BUENOS AIRES,No identificado,1990,ARGENTINA,100,6,200
20,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2014-08-27T00:00:00,1011,BARADERO,Buenos Aires,Nacional,2014,18,SEDAN 3 PUERTAS,37,RENAULT,ZV,CLIO MIO 3P PACK ABS ABCP,1,Privado,Física,BARADERO,BUENOS AIRES,Femenino,1994,ARGENTINA,100,6,200
21,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1998-01-09T00:00:00,1252,QUILMES Nº 5 (EX 9),Buenos Aires,Nacional,1998,12,SEDAN 4 PTAS,53,VOLKSWAGEN,15,POLO CLASSIC 1.6 NAFTA,1,Privado,Física,SAN FRANCISCO SOLANO,BUENOS AIRES,No identificado,1980,ARGENTINA,100,6,200
22,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2010-01-29T00:00:00,16006,SAN ANTONIO OESTE,Río Negro,Protocolo 21,2010,2,SEDAN 4 PTAS,044,FIAT,688,LINEA DUALOGIC 1.9 16V,1,Privado,Física,SAN ANTONIO OESTE,RIO NEGRO,No identificado,1965,ARGENTINA,100,62,200
23,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2012-08-09T00:00:00,1033,GENERAL BELGRANO,Buenos Aires,Protocolo 21,2012,2,SEDAN 4 PUERTAS,136,VOLKSWAGEN,426,VOYAGE 1.6,1,Privado,Física,GENERAL BELGRANO,BUENOS AIRES,Masculino,1984,ARGENTINA,100,6,200
24,COMUNICACIÓN DE RECUPERO,2024-12-02T00:00:00,2016-11-08T00:00:00,1043,LA PLATA Nº 01,Buenos Aires,Nacional,2016,17,SEDAN 5 PUERTAS,53,VOLKSWAGEN,XH,SURAN 1.6 5D 060,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2023,No aplica,100,6,
25,COMUNICACIÓN DE RECUPERO,2024-12-02T00:00:00,2017-07-03T00:00:00,1043,LA PLATA Nº 01,Buenos Aires,Nacional,2017,17,SEDAN 5 PUERTAS,80,HONDA,11,HR-V EXL CVT,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2023,No aplica,100,6,
26,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2010-04-15T00:00:00,1043,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2010,2,SEDAN 4 PTAS,047,FORD,764,FIESTA MAX 1.6L AMBIENTE MP3,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1991,ARGENTINA,100,6,200
27,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2000-03-23T00:00:00,1045,LA PLATA Nº 03,Buenos Aires,Protocolo 21,2000,11,PICK UP,024,CHEVROLET,254,S10 DLX 2.5 TD (CABINA DOBLE),1,Privado,Física,SAN CARLOS-LA PLATA,BUENOS AIRES,Masculino,1957,ARGENTINA,100,6,200
28,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2016-06-07T00:00:00,1053,LOMAS DE ZAMORA Nº 1,Buenos Aires,Protocolo 21,2016,2,SEDAN 4 PUERTAS,024,CHEVROLET,615,PRISMA 1.4 N LTZ,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1992,ARGENTINA,100,6,200
29,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2009-05-04T00:00:00,1053,LOMAS DE ZAMORA Nº 1,Buenos Aires,Protocolo 21,2009,5,SEDAN 5 PTAS,024,CHEVROLET,405,MERIVA GL PLUS 1.8 SOHC,1,Privado,Física,BANFIELD,BUENOS AIRES,No identificado,1967,ARGENTINA,100,6,200
30,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1999-08-26T00:00:00,1062,MERLO Nº 1,Buenos Aires,Importado,1999,22,SEDAN 3 PUERTAS,104,PEUGEOT,373,206 XS 1.6,1,Privado,Física,PONTEVEDRA,BUENOS AIRES,Femenino,1994,ARGENTINA,100,6,200
31,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2017-09-21T00:00:00,1062,MERLO Nº 1,Buenos Aires,Nacional,2017,20,PICK-UP,68,TOYOTA,92,HILUX 4X4 D/C SRX 2.8 TDI 6 A/T,1,Privado,Física,MERLO,BUENOS AIRES,Masculino,2000,ARGENTINA,100,6,200
32,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2019-04-12T00:00:00,1062,MERLO Nº 1,Buenos Aires,Protocolo 21,2019,2,SEDAN 4 PUERTAS,130,TOYOTA,912,ETIOS XLS 1.5 6M/T,1,Privado,Física,MERLO,BUENOS AIRES,Femenino,1960,ARGENTINA,100,6,200
33,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2008-10-17T00:00:00,1062,MERLO Nº 1,Buenos Aires,Protocolo 21,2008,5,SEDAN 5 PTAS,136,VOLKSWAGEN,348,FOX 1.6,1,Privado,Física,LIBERTAD,BUENOS AIRES,Masculino,1964,ARGENTINA,100,6,200
34,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2004-01-08T00:00:00,1064,MORENO Nº 1,Buenos Aires,Importado,2004,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,MORENO,BUENOS AIRES,Masculino,1983,ARGENTINA,100,6,200
35,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2011-05-30T00:00:00,1064,MORENO Nº 1,Buenos Aires,Nacional,2011,22,FURGON,37,RENAULT,WA,KANGOO CONFORT 1.5 DCICDAADASVT1P(600KG),1,Privado,Física,LA REJA,BUENOS AIRES,No identificado,1984,ARGENTINA,100,6,200
36,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2005-07-21T00:00:00,1064,MORENO Nº 1,Buenos Aires,Nacional,2005,17,SEDAN 5 PTAS,34,PEUGEOT,DG,206 XTD 5P,1,Privado,Física,MORENO,BUENOS AIRES,Masculino,1999,ARGENTINA,100,6,200
37,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2002-07-11T00:00:00,21057,ROSARIO Nº 14,Santa Fe,Nacional,2002,20,PICK-UP,19,FORD,PH,RANGER XLT C/C 4X2 2.8LD,1,Privado,Física,ROSARIO,SANTA FE,Femenino,1964,ARGENTINA,100,82,200
38,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1999-01-05T00:00:00,21057,ROSARIO Nº 14,Santa Fe,Protocolo 21,1999,5,SEDAN 5 PTAS,136,VOLKSWAGEN,237,GOL GL 1.9 SD,1,Privado,Física,ROSARIO,SANTA FE,Femenino,1998,ARGENTINA,100,82,200
39,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2000-10-26T00:00:00,1065,MORON Nº 02,Buenos Aires,Nacional,2000,12,SEDAN 4 PTAS,74,SEAT,06,CORDOBA 1.9 TDI 011,1,Privado,Física,MORON,BUENOS AIRES,Masculino,1978,ARGENTINA,100,6,200
40,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2009-10-15T00:00:00,1077,QUILMES Nº 1,Buenos Aires,Protocolo 21,2009,5,SEDAN 5 PTAS,047,FORD,722,FIESTA AMBIENTE MP3,1,Privado,Física,BERNAL,BUENOS AIRES,No identificado,1982,PARAGUAY,100,6,221
41,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2008-05-13T00:00:00,1088,SAN MARTIN Nº 1,Buenos Aires,Importado,2008,5,SEDAN 5 PTAS,092,MERCEDES BENZ,819,B200,1,Privado,Física,SAN ANDRES,BUENOS AIRES,Masculino,2003,ARGENTINA,100,6,200
42,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2017-01-31T00:00:00,1090,SAN MIGUEL Nº 1,Buenos Aires,Protocolo 21,2017,5,SEDAN 5 PUERTAS,112,RENAULT,A60,NUEVO SANDERO AUTHENTIQUE,1,Privado,Física,SAN MIGUEL OESTE,BUENOS AIRES,Masculino,1980,PARAGUAY,100,6,221
43,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2010-04-07T00:00:00,1095,TAPALQUE,Buenos Aires,Importado,2006,82,PICK-UP CABINA DOBLE,158,DODGE,024,RAM 1500,1,Privado,Física,TAPALQUÉ,BUENOS AIRES,Femenino,1966,ARGENTINA,100,6,200
44,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2016-07-28T00:00:00,1096,TIGRE Nº 1,Buenos Aires,Protocolo 21,2016,5,SEDAN 5 PUERTAS,104,PEUGEOT,771,2008 SPORT 1.6 THP,1,Privado,Física,DON TORCUATO,BUENOS AIRES,Femenino,1989,ARGENTINA,100,6,200
45,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2013-09-30T00:00:00,1100,TRES DE FEBRERO Nº 1,Buenos Aires,Importado,2013,4,RURAL 5 PUERTAS,104,PEUGEOT,698,3008 ALLURE,1,Privado,Física,CASEROS,BUENOS AIRES,Masculino,1980,ARGENTINA,100,6,200
46,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2001-02-01T00:00:00,1106,LA MATANZA Nº 02,Buenos Aires,Importado,2001,22,SEDAN 3 PTAS,104,PEUGEOT,421,106 QUICK SILVER,1,Privado,Física,RAMOS MEJIA,BUENOS AIRES,No identificado,1980,ARGENTINA,100,6,200
47,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2023-07-31T00:00:00,1107,LANUS Nº 2,Buenos Aires,Nacional,2023,20,PICK-UP,53,VOLKSWAGEN,8M,AMAROK COMFORTLINE 4X2 AUT 2.0L TDI 180 CV,1,Privado,Física,LANÚS OESTE,BUENOS AIRES,Femenino,1983,ARGENTINA,100,6,200
48,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1997-12-17T00:00:00,1110,SAN ANDRES DE GILES,Buenos Aires,Protocolo 21,1997,5,SEDAN 5 PTAS,024,CHEVROLET,103,CORSA GL 1.6 MPFI,1,Privado,Física,SAN ANDRES DE GILES,BUENOS AIRES,No identificado,1989,ARGENTINA,100,6,200
49,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2017-08-10T00:00:00,1115,MORON Nº 01,Buenos Aires,Protocolo 21,2017,5,SEDAN 5 PUERTAS,104,PEUGEOT,778,208 ALLURE 1.6,1,Privado,Física,MORÓN,BUENOS AIRES,Femenino,1979,PARAGUAY,100,6,221
50,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2013-12-06T00:00:00,1117,TRES DE FEBRERO Nº 2,Buenos Aires,Nacional,2013,17,SEDAN 5 PUERTAS,34,PEUGEOT,MK,308 SPORT,1,Privado,Física,CASEROS,BUENOS AIRES,No identificado,1989,ARGENTINA,100,6,200
51,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2009-08-26T00:00:00,1118,QUILMES Nº 2,Buenos Aires,Nacional,2009,18,SEDAN 3 PTAS,08,CHEVROLET,CE,CORSA CLASSIC 3 PTAS GL 1.4N,1,Privado,Física,BERNAL,BUENOS AIRES,Masculino,1980,ARGENTINA,100,6,200
52,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2011-11-21T00:00:00,1118,QUILMES Nº 2,Buenos Aires,Nacional,2011,21,FURGONETA VID.C/ASIENTOS,07,CITROEN,AH,BERLINGO FURGON 1.6I HDI PACK SEGURIDAD,1,Privado,Física,BERNAL,BUENOS AIRES,Masculino,1968,PARAGUAY,100,6,221
53,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2012-04-26T00:00:00,1119,MORON Nº 03,Buenos Aires,Protocolo 21,2012,22,SEDAN 3 PTAS,047,FORD,815,KA FLY VIRAL 1.0L,1,Privado,Física,HAEDO,BUENOS AIRES,No identificado,1985,ARGENTINA,100,6,200
54,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2009-12-09T00:00:00,1120,LA MATANZA Nº 03,Buenos Aires,Nacional,2009,17,SEDAN 5 PTAS,53,VOLKSWAGEN,MJ,FOX 1.6 5P             71A,1,Privado,Física,VILLA MADERO,BUENOS AIRES,Masculino,1992,ARGENTINA,100,6,200
55,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2013-01-09T00:00:00,1124,LANUS Nº 9,Buenos Aires,Protocolo 21,2013,5,SEDAN 5 PUERTAS,027,CITROEN,272,C3 1.4I SX PACK SEGURIDAD AM75,1,Privado,Física,LANUS OESTE,BUENOS AIRES,Masculino,1994,ARGENTINA,100,6,200
56,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2013-07-31T00:00:00,1124,LANUS Nº 9,Buenos Aires,Nacional,2013,12,SEDAN 4 PUERTAS,08,CHEVROLET,DC,CLASSIC 4 PTAS LS AA + DIR 1.4N,1,Privado,Física,MONTE CHINGOLO,BUENOS AIRES,No identificado,1957,ARGENTINA,100,6,200
57,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2009-12-01T00:00:00,1124,LANUS Nº 9,Buenos Aires,Importado,2009,2,SEDAN 4 PTAS,136,VOLKSWAGEN,285,BORA 2.0,1,Privado,Física,LANÚS,BUENOS AIRES,Masculino,1993,ARGENTINA,100,6,200
58,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2018-06-12T00:00:00,1124,LANUS Nº 9,Buenos Aires,Protocolo 21,2018,4,RURAL 5 PUERTAS,027,CITROEN,435,C3 AIRCROSS VTI 115 AT6 FEEL AM18,1,Privado,Física,R. DE ESCALADA,BUENOS AIRES,Masculino,1977,ESTADOS UNIDOS,100,6,212
59,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2012-08-28T00:00:00,1130,GENERAL RODRIGUEZ Nº 1,Buenos Aires,Protocolo 21,2012,2,SEDAN 4 PUERTAS,112,RENAULT,829,LOGAN AUTHENTIQUE 1.6 PACK II,1,Privado,Física,GRAL RODRIGUEZ,BUENOS AIRES,Masculino,1989,ARGENTINA,100,6,200
60,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2004-01-30T00:00:00,1130,GENERAL RODRIGUEZ Nº 1,Buenos Aires,Nacional,2004,17,SEDAN 5 PTAS,34,PEUGEOT,CK,206 XR PREMIUM 1.6 5P,1,Privado,Física,GENERAL RODRÍGUEZ,BUENOS AIRES,Femenino,1982,PARAGUAY,100,6,221
61,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2017-08-24T00:00:00,1134,LANUS Nº 3,Buenos Aires,Protocolo 21,2017,4,RURAL 5 PUERTAS,047,FORD,992,ECOSPORT FREESTYLE 1.6L MT N,1,Privado,Física,LANÚS ESTE,BUENOS AIRES,Femenino,1962,ARGENTINA,100,6,200
62,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2003-12-29T00:00:00,1135,LANUS Nº 4,Buenos Aires,Nacional,2003,20,PICK-UP,19,FORD,PC,RANGER XL C/C 4X2 2.8L D,1,Privado,Física,LANUS ESTE,BUENOS AIRES,Masculino,1976,ARGENTINA,100,6,200
63,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2015-07-20T00:00:00,1140,SAN ISIDRO Nº 04,Buenos Aires,Nacional,2015,17,SEDAN 5 PUERTAS,37,RENAULT,2B,CLIO MIO 5P CONFORT PACK SAT,1,Privado,Física,SAN ISIDRO,BUENOS AIRES,Femenino,1970,ARGENTINA,100,6,200
64,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2003-08-27T00:00:00,1144,QUILMES Nº 3,Buenos Aires,Protocolo 21,2003,5,SEDAN 5 PUERTAS,047,FORD,583,FIESTA AMBIENTE 5P,1,Privado,Física,EZPELETA,BUENOS AIRES,Masculino,1987,ARGENTINA,100,6,200
65,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2024-08-12T00:00:00,1146,MERLO Nº 2,Buenos Aires,Protocolo 21,2024,5,SEDAN 5 PUERTAS,136,VOLKSWAGEN,771,NUEVO POLO TRACK MSI MT,1,Privado,Física,MERLO,BUENOS AIRES,No identificado,1957,ARGENTINA,100,6,200
66,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2013-12-13T00:00:00,1146,MERLO Nº 2,Buenos Aires,Nacional,2013,17,SEDAN 5 PUERTAS,34,PEUGEOT,MK,308 SPORT,1,Privado,Física,MERLO,BUENOS AIRES,Femenino,1990,ARGENTINA,100,6,200
67,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2018-05-16T00:00:00,1146,MERLO Nº 2,Buenos Aires,Nacional,2018,12,SEDAN 4 PUERTAS,08,CHEVROLET,ED,CRUZE 4P 1.4 TURBO LTZ MT,1,Privado,Física,MERLO,BUENOS AIRES,No identificado,1988,ARGENTINA,100,6,200
68,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,1999-07-07T00:00:00,1150,AVELLANEDA Nº 3,Buenos Aires,Nacional,1999,12,SEDAN,08,CHEVROLET,62,CORSA 4 PTAS. GL 1.7 D,1,Privado,Física,SARANDI,BUENOS AIRES,No identificado,1984,ARGENTINA,100,6,200
69,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2018-12-20T00:00:00,1152,LA MATANZA Nº 04,Buenos Aires,Nacional,2018,20,PICK-UP,68,TOYOTA,93,HILUX 4X4 D/C SRX 2.8 TDI 6 M/T,1,Privado,Física,CIUDAD EVITA,BUENOS AIRES,Femenino,1979,ARGENTINA,100,6,200
70,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2017-07-19T00:00:00,1152,LA MATANZA Nº 04,Buenos Aires,Protocolo 21,2017,5,SEDAN 5 PUERTAS,047,FORD,A36,FIESTA 1.6L SE,1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Femenino,1976,ARGENTINA,100,6,200
71,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2009-01-29T00:00:00,1152,LA MATANZA Nº 04,Buenos Aires,Nacional,2009,17,SEDAN 5 PTAS,53,VOLKSWAGEN,LW,SURAN,1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Femenino,1978,ARGENTINA,100,6,200
72,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2011-02-10T00:00:00,1152,LA MATANZA Nº 04,Buenos Aires,Nacional,2011,18,SEDAN 3 PUERTAS,08,CHEVROLET,CY,CLASSIC 3 PTAS CITY LS+AA 1.4N,1,Privado,Física,RAFAEL CASTILLO,BUENOS AIRES,Masculino,1985,ARGENTINA,100,6,200
73,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2013-01-24T00:00:00,1152,LA MATANZA Nº 04,Buenos Aires,Protocolo 21,2013,4,RURAL 5 PTAS,047,FORD,992,ECOSPORT FREESTYLE 1.6L MT N,1,Privado,Física,I.CASANOVA,BUENOS AIRES,Masculino,1950,ARGENTINA,100,6,200
74,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-02T00:00:00,2006-01-10T00:00:00,1152,LA MATANZA Nº 04,Buenos Aires,Protocolo 21,2006,4,RURAL 5 PTAS,047,FORD,600,ECOSPORT 1.4L TDCI 4X2 XLS,1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Masculino,1984,ARGENTINA,100,6,200
