_id,tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
910,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2005-10-06T00:00:00,2019,CAPITAL FEDERAL Nº 019,Ciudad Autónoma de Buenos Aires,Protocolo 21,2005,5,SEDAN 5 PTAS,024,CHEVROLET,361,MERIVA GL 1.8,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1953,ARGENTINA,100,2,200
911,COMUNICACIÓN DE RECUPERO,2024-12-06T00:00:00,2006-08-07T00:00:00,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Buenos Aires,Protocolo 21,2006,2,SEDAN 4 PUERTAS,130,TOYOTA,469,COROLLA 1.8 SE-G,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994,No aplica,100,2,
912,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2014-07-24T00:00:00,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Buenos Aires,Importado,2014,10,TODO TERRENO,024,CHEVROLET,632,CHEVROLET TRACKER AWD LTZ,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1974,ARGENTINA,100,2,200
913,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2017-07-07T00:00:00,2030,CAPITAL FEDERAL Nº 030,Ciudad Autónoma de Buenos Aires,Nacional,2017,12,SEDAN 4 PUERTAS,37,RENAULT,1G,FLUENCE PH2 1.6 DYNAMIQUE,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1981,PARAGUAY,100,2,221
914,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2010-01-08T00:00:00,1224,MERLO Nº 3,Buenos Aires,Importado,2010,5,SEDAN 5 PTAS,018,BMW,302,120D,1,Privado,Física,SAN ANTONIO DE PADUA,BUENOS AIRES,Masculino,1999,ARGENTINA,100,6,200
915,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2013-01-11T00:00:00,2034,CAPITAL FEDERAL Nº 034,Ciudad Autónoma de Buenos Aires,Protocolo 21,2013,4,RURAL 5 PTAS,G89,CHERY,001,TIGGO 2.0 COMFORT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1988,ARGENTINA,100,2,200
916,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2015-05-28T00:00:00,2039,CAPITAL FEDERAL Nº 039,Ciudad Autónoma de Buenos Aires,Importado,2015,4,RURAL 5 PUERTAS,024,CHEVROLET,630,CHEVROLET TRACKER FWD LTZ,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1983,ARGENTINA,100,2,200
917,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2018-01-12T00:00:00,2053,CAPITAL FEDERAL Nº 053,Ciudad Autónoma de Buenos Aires,Nacional,2018,94,TRACTOR C/ CABINA DORMITORIO,29,MERCEDES BENZ,FR,695 VERSION 1735 45,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2007,No aplica,100,2,
918,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2016-05-30T00:00:00,2054,CAPITAL FEDERAL Nº 054,Ciudad Autónoma de Buenos Aires,Nacional,2016,17,SEDAN 5 PUERTAS,19,FORD,XF,FOCUS 5P 2.0L N AT SE PLUS,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1984,ARGENTINA,100,2,200
919,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2000-07-25T00:00:00,2056,CAPITAL FEDERAL Nº 056,Ciudad Autónoma de Buenos Aires,Protocolo 21,2000,5,SEDAN 5 PTAS,136,VOLKSWAGEN,283,GOL 1.9 SD,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,2002,ARGENTINA,50,2,200
